message_id,message,category,risk_level,synthetic,verification_status
SMS001,Your courier delivery requires additional information. Pay the delivery fee now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS002,Your online job application is ready for immediate approval. Complete the employment form now using the secure verification page.,Job Scam,Red,True,needs_review
SMS003,Your parcel could not be delivered. Update your delivery details now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS004,Your delivery has been placed on hold. Confirm your delivery address now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS005,Your debit card requires an identity check. Confirm your account now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS006,Your selected reward requires identity confirmation. Verify your information now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS007,Your appointment is confirmed for Monday at 4:30 PM.,Legitimate,Green,True,needs_review
SMS008,Your account security has a pending security alert. Update your information now using the secure verification page.,Bank Scam,Amber,True,needs_review
SMS009,Your appointment reminder is for Monday at 3:30 PM.,Legitimate,Green,True,needs_review
SMS010,Your parcel requires additional information. Confirm your parcel now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS011,Your selected reward has been approved. Verify your information now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS012,Your computer has an unusual security alert. Confirm your device details now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS013,Your online banking access requires immediate verification. Review the security alert now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS014,Your online banking access requires immediate verification. Verify your details now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS015,Your library book is due on Friday.,Legitimate,Green,True,needs_review
SMS016,Your debit card requires an identity check. Confirm the transaction now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS017,Your order has been dispatched and can be tracked through the official app.,Legitimate,Green,True,needs_review
SMS018,Your debit card requires an identity check. Update your information now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS019,Your outstanding notice requires an immediate response. Review the notice now using the secure verification page.,Government Scam,Red,True,needs_review
SMS020,Your scheduled service appointment is confirmed for Friday.,Legitimate,Green,True,needs_review
SMS021,A special financial opportunity has limited availability. Transfer the initial amount now using the secure verification page.,Investment Scam,Amber,True,needs_review
SMS022,Your job offer has been shortlisted. Complete the employment form now using the secure verification page.,Job Scam,Red,True,needs_review
SMS023,A recent transaction has detected unusual activity. Review the security alert now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS024,Your internet connection may have been infected. Contact technical support now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS025,Your investment opportunity has limited availability. Register for the opportunity now using the secure verification page.,Investment Scam,Amber,True,needs_review
SMS026,Your package requires additional information. Update your delivery details now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS027,Your online government account has a pending notification. Complete the requested information now using the secure verification page.,Government Scam,Red,True,needs_review
SMS028,Your delivery has been scheduled for Monday.,Legitimate,Green,True,needs_review
SMS029,Your bank account requires immediate verification. Update your information now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS030,Your account statement has been generated successfully.,Legitimate,Green,True,needs_review
SMS031,Your online government account is awaiting confirmation. Review the notice now using the secure verification page.,Government Scam,Red,True,needs_review
SMS032,Your university class is scheduled for Friday at 4:30 PM.,Legitimate,Green,True,needs_review
SMS033,Your selected reward requires identity confirmation. Confirm your details now using the secure verification page.,Prize Scam,Amber,True,needs_review
SMS034,Your online government account requires urgent verification. Confirm your details now using the secure verification page.,Government Scam,Red,True,needs_review
SMS035,Your computer has detected a serious security problem. Contact technical support now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS036,A special financial opportunity expires today. Register for the opportunity now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS037,A limited investment opportunity requires an initial transfer. Confirm your investment now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS038,Your membership renewal is scheduled for Wednesday.,Legitimate,Green,True,needs_review
SMS039,Your membership renewal is scheduled for Monday.,Legitimate,Green,True,needs_review
SMS040,A remote employment opportunity has been shortlisted. Complete the employment form now using the secure verification page.,Job Scam,Red,True,needs_review
SMS041,Your internet connection requires immediate technical support. Contact technical support now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS042,Your package could not be delivered. Update your delivery details now using the secure verification page.,Delivery Scam,Amber,True,needs_review
SMS043,Your job offer has been shortlisted. Provide your personal information now using the secure verification page.,Job Scam,Red,True,needs_review
SMS044,Your appointment reminder is for Tuesday at 3:30 PM.,Legitimate,Green,True,needs_review
SMS045,Your delivery has been scheduled for Wednesday.,Legitimate,Green,True,needs_review
SMS046,Your monthly statement is now available in your official online account.,Legitimate,Green,True,needs_review
SMS047,Your outstanding notice has an outstanding issue. Complete the requested information now using the secure verification page.,Government Scam,Red,True,needs_review
SMS048,Your government payment is awaiting confirmation. Complete the requested information now using the secure verification page.,Government Scam,Red,True,needs_review
SMS049,Your account security requires an urgent security check. Install the recommended software now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS050,A special financial opportunity requires an initial transfer. Register for the opportunity now using the secure verification page.,Investment Scam,Amber,True,needs_review
SMS051,Your work-from-home application has been selected for further processing. Complete the employment form now using the secure verification page.,Job Scam,Red,True,needs_review
SMS052,Your prize is waiting to be claimed. Confirm your details now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS053,Your account security may have been infected. Confirm your device details now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS054,Your online job application requires additional personal information. Pay the registration fee now using the secure verification page.,Job Scam,Red,True,needs_review
SMS055,A limited investment opportunity expires today. Provide your payment details now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS056,A recent transaction requires an identity check. Review the security alert now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS057,Your appointment reminder is for Friday at 3:30 PM.,Legitimate,Green,True,needs_review
SMS058,Your appointment is confirmed for Monday at 2:00 PM.,Legitimate,Green,True,needs_review
SMS059,Your internet connection may have been infected. Download the security tool now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS060,Your selected reward requires identity confirmation. Pay the processing fee now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS061,Your university class is scheduled for Tuesday at 3:30 PM.,Legitimate,Green,True,needs_review
SMS062,Your package requires additional information. Reschedule the delivery now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS063,Your appointment is confirmed for Thursday at 4:30 PM.,Legitimate,Green,True,needs_review
SMS064,Your tax record requires an immediate response. Confirm your account now using the secure verification page.,Government Scam,Red,True,needs_review
SMS065,A recent transaction has detected unusual activity. Verify your details now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS066,Your investment opportunity offers guaranteed returns. Confirm your investment now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS067,Your government payment is awaiting confirmation. Verify your information now using the secure verification page.,Government Scam,Amber,True,needs_review
SMS068,Your investment account offers guaranteed returns. Provide your payment details now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS069,Your competition prize is waiting to be claimed. Complete the claim form now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS070,Your competition prize expires today. Claim your reward now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS071,Your online government account has a pending notification. Verify your information now using the secure verification page.,Government Scam,Red,True,needs_review
SMS072,Your payment has been received successfully.,Legitimate,Green,True,needs_review
SMS073,Your job offer is ready for immediate approval. Complete the employment form now using the secure verification page.,Job Scam,Red,True,needs_review
SMS074,Your online job application has been selected for further processing. Pay the registration fee now using the secure verification page.,Job Scam,Red,True,needs_review
SMS075,Your computer has detected a serious security problem. Install the recommended software now using the secure verification page.,Tech Support Scam,Amber,True,needs_review
SMS076,Your account security requires immediate technical support. Contact technical support now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS077,Your package could not be delivered. Pay the delivery fee now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS078,A special financial opportunity has limited availability. Provide your payment details now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS079,Your delivery has been scheduled for Saturday.,Legitimate,Green,True,needs_review
SMS080,Your scheduled maintenance appointment is confirmed.,Legitimate,Green,True,needs_review
SMS081,Your appointment is confirmed for Tuesday at 12:00 PM.,Legitimate,Green,True,needs_review
SMS082,Your library book is due on Wednesday.,Legitimate,Green,True,needs_review
SMS083,Your debit card requires immediate verification. Update your information now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS084,A special financial opportunity has limited availability. Secure your investment now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS085,Your account notification is available in the official application.,Legitimate,Green,True,needs_review
SMS086,Your appointment is confirmed for Saturday at 10:30 AM.,Legitimate,Green,True,needs_review
SMS087,Your cash reward expires today. Verify your information now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS088,Your device has detected a serious security problem. Download the security tool now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS089,A flexible work opportunity has been selected for further processing. Pay the registration fee now using the secure verification page.,Job Scam,Red,True,needs_review
SMS090,Your government payment requires an immediate response. Verify your information now using the secure verification page.,Government Scam,Amber,True,needs_review
SMS091,Your courier delivery has been placed on hold. Confirm your parcel now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS092,Your appointment reminder is for Wednesday at 2:00 PM.,Legitimate,Green,True,needs_review
SMS093,A remote employment opportunity requires additional personal information. Complete the employment form now using the secure verification page.,Job Scam,Red,True,needs_review
SMS094,Your delivery has been scheduled for Tuesday.,Legitimate,Green,True,needs_review
SMS095,Your appointment reminder is for Tuesday at 4:30 PM.,Legitimate,Green,True,needs_review
SMS096,A new investment offer requires an initial transfer. Transfer the initial amount now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS097,A flexible work opportunity is ready for immediate approval. Pay the registration fee now using the secure verification page.,Job Scam,Red,True,needs_review
